architecture_id,paradigm,primitives,primitive_count,e_star_score,e_star_complete,correspondence_score,mapping_ambiguity,counterexample_score,proof_complexity,representation_complexity,translation_complexity,compression,reuse,hierarchy_depth,transfer_quality
a000000,random_interaction,attention entropy_regularization memory_decay schema_alignment stochastic_memory,5,0.0,False,0.5682787768224016,0.0,0.0,6.4,7.836920553621583,3.295163669532795,0.03765876225380216,0.48388372673195595,1.0,0.03291155736603605
a000001,rewriting_system,attention belief_revision graph_rewrite merge message_passing rewriting_system schema_alignment symbolic_rules,8,0.03386596180463919,False,0.6569587183531462,0.0,0.011617422941666823,9.2,6.732461606157612,3.6291238449405614,0.3264628940474014,0.5672897309934513,1.5306382033640675,0.019066972286850052
a000002,cellular_automata,belief_revision cellular_automata operator_composition recurrence sat_constraints schema_alignment symbolic_rules type_unification,8,0.0295698585070997,False,0.596219194617934,0.0,0.011939741283030452,9.0,5.769846205819382,3.8113424161461977,0.2550922054028661,0.38046687284991576,1.971491416055298,0.001360844619954247
a000003,differentiable_system,compression differentiable_objective graph_rewrite invariant_detection merge message_passing prediction,7,0.01750561860644806,False,0.49741946871623943,0.03333333333333333,0.008504716996356899,8.433333333333334,6.672523937105347,3.9077415938512816,0.5133361785452065,0.30650651010896574,2.806137480554692,0.5180129744140923
a000004,sat_based,constraint_propagation counterexample_search,2,0.021820617455273195,False,0.4876779990190351,0.0,0.011179182397325734,4.0,10.822208569759397,2.936966002942895,0.03548998647616919,0.027416314268066844,1.0716949332801315,0.0012081843727971722
a000005,differentiable_system,cellular_automata differentiable_objective invariant_detection prediction,4,0.01723674069091663,False,0.5717826065230849,0.0,0.007381072170701801,5.8,10.168703511342912,3.084652180430745,0.06382174886306981,0.21351543110996074,1.2046963832288327,0.30421837509717176
a000006,rewriting_system,compression differentiable_objective hypergraph_dynamics message_passing rewriting_system schema_alignment,6,0.020791311921389832,False,0.520921861609969,0.0,0.009960663009985899,7.8,9.994637751005323,3.6372344151700933,0.4231235284279673,0.5809578299267584,1.607134109961668,0.37232708417990457
a000007,hypergraph,hypergraph_dynamics merge operator_composition prediction,4,0.029529147154515156,False,0.6056513114754593,0.02,0.011411884844558602,6.08,10.983163307737394,2.983046065573622,0.6530599255180378,0.04654354861109211,1.1018211179462691,0.0101114419676844
a000008,symbolic_system,belief_revision causal_probe constraint_propagation program_synthesis type_unification,5,0.03424748463766414,False,0.6567864455841224,0.02222222222222222,0.011492996467133743,6.9111111111111105,10.264117265193711,3.029640663247633,0.03394562433518275,0.43388367329687366,1.0777681558951606,0.010910709334524283
a000009,sat_based,compression counterexample_search entropy_regularization invariant_detection latent_state probabilistic_grammar recurrence sat_constraints,8,0.026500428898701522,False,0.5723705111181548,0.0,0.01133236486510141,10.0,11.734328514356434,3.8828884666455354,0.25720270985348676,0.1317902774627408,2.293250389381625,0.19803391223039735
