architecture_id,paradigm,genesis,admissibility,uncertainty,abstraction,substitutability,transfer,representation_translation,generalization,stable_structures,experimentally_distinguishable_predictions
a000000,random_interaction,0.019057823562143583,0.32913231388045716,0.6720959965283957,0.05272226715532302,0.38815066811166743,0.5796167853522445,0.4986467391873327,0.05678158086128415,0.0,0.026053768004600575
a000001,rewriting_system,0.5190486905257565,0.7102740224903805,0.45531837104428585,0.5353991462377383,0.5715665938793701,0.5630128681075324,0.8932498363477028,0.03386596180463919,0.24777691890847875,0.3802563603203444
a000002,cellular_automata,0.6568174107418847,0.8230245618975112,0.43853372605185104,0.4183512168607004,0.7149124020526338,0.04602134364719768,0.745693979973144,0.0295698585070997,0.5805477412886182,0.5579673865222812
a000003,differentiable_system,0.5079729014804968,0.041483009333294074,0.04117806843864802,0.8008044385305223,0.01750561860644806,0.5955074016114834,0.48531231804077624,0.8698682384338365,0.563850983352739,0.5364251622676294
a000004,sat_based,0.028188889560004204,0.7293055574879679,0.09298331369697888,0.041168384312356254,0.02310694676835967,0.03172568176777402,0.021820617455273195,0.038082219371701864,0.4353761659442451,0.4637946013155032
a000005,differentiable_system,0.43727867971122414,0.03753797011408755,0.04409819827577144,0.08424470849925214,0.01723674069091663,0.40979412152900485,0.07713660625306884,0.7423688118367493,0.6074458172961978,0.5748603740371184
a000006,rewriting_system,0.020791311921389832,0.029215377143537502,0.03770162154118306,0.6262228220733916,0.5680591670770678,0.5938564927764488,0.8659865726390442,0.62696474435965,0.24237942492716813,0.024028605881341036
a000007,hypergraph,0.36545692996931556,0.034117738731661906,0.04581371511909571,0.8620391016838099,0.06192115977803503,0.031165937444149194,0.6031501785475156,0.32443888414409394,0.029529147154515156,0.5464098456975919
a000008,symbolic_system,0.3571438398177177,0.6857457411770858,0.4674340171097241,0.047523874069255845,0.5491830928898978,0.3185842537038496,0.5633197275373939,0.03424748463766414,0.409100464862304,0.4337747664365341
a000009,sat_based,0.3751457500152119,0.7413018936624345,0.7706885023226523,0.4218124441597183,0.026500428898701522,0.23708012602678008,0.03950909586888207,0.8353037243114501,0.7664842557916209,0.6246497396206705
a000010,graph_system,0.276291051190268,0.6801785068018857,0.7909293506340641,0.039302953573182586,0.31928957896370636,0.1111368328788983,0.7054709846878903,0.6103823821818388,0.6596237141563515,0.027146239041620612
a000011,graph_system,0.4939005249377807,0.6742913045819616,0.8713229695565737,0.5263064371991175,0.032874570816182835,0.3577069918227249,0.4762927581770183,0.7242682158251383,0.7294129807972823,0.016110886503096444
a000012,rewriting_system,0.03296358076289918,0.7059319513786256,0.3229016996631351,0.038520764392569684,0.6502239747451805,0.37793630548110213,0.502020519703287,0.03437681412888105,0.526720058602229,0.6915980357449013
a000013,sat_based,0.027283308077520663,0.6339309252636058,0.03985713709775551,0.6083151135890026,0.0536830839080743,0.2584746369842498,0.32128519509532116,0.6052928459152811,0.6972371107022542,0.65522100264704
a000014,symbolic_system,0.02190407309812592,0.04933628462614892,0.036259968564036016,0.06962317572082188,0.5505524174294925,0.38351342034613545,0.31146603870834155,0.4066524510831606,0.03785979506508064,0.021593279880945282
a000015,graph_system,0.27665510342432487,0.8545405767868948,0.051811059745384025,0.032476097834223006,0.6809453429071542,0.37536523634960506,0.7352184156702313,0.5734550294455873,0.729277270386538,0.8183317421401254
a000016,differentiable_system,0.025740241789055207,0.3309035674430524,0.9070634710527348,0.6108757582241566,0.06224920953373736,0.3830808135268905,0.3124682650913724,0.8793381412092195,0.3239748266050214,0.5555517508116186
a000017,graph_system,0.2781550765384604,0.03762781468087828,0.411932845289427,0.033406191489340875,0.016221328920182354,0.39669759714075803,0.519468729319535,0.5650462745117663,0.5618696672569834,0.023235267332122445
a000018,hypergraph,0.3621250978937848,0.6027987629986251,0.40261327827215665,0.5413816222466015,0.02024611148054245,0.4823752328780736,0.022025778442540722,0.3196794941839265,0.0,0.6037475614547267
a000019,graph_system,0.5699688497166483,0.32129599886004234,0.46491451603248257,0.40521659621049144,0.025268206915640468,0.32790667468003953,0.5068117294167127,0.39778227075751027,0.6290683619399957,0.022927793287775056
a000020,differentiable_system,0.018421960324661035,0.42914477506974236,0.031034736716089806,0.404285455330032,0.025445453305487087,0.06959983623305543,0.06853074511123913,0.7488803516058069,0.4428343968491232,0.7341918766353783
a000021,probabilistic_system,0.7167164731637652,0.33371378656162276,0.8008339198880071,0.5289938139297371,0.37949937811562584,0.3077945345178875,0.6921916474486141,0.38277850239004396,0.2860378161836511,0.02700773818175317
a000022,cellular_automata,0.5614630795164518,0.7103548018025404,0.04051510978764805,0.040705898010410246,0.5596120690272841,0.7134537999079689,0.6353888410903166,0.38862023722177075,0.3341144687030886,0.6035123017552617
